nume_actiune,timestamp
Afiseaza toate produsele dintr-o categorie,2022-04-29 17:23:11
Adauga produs,2022-04-29 18:53:33
Afiseaza toate informatiile despre un produs,2022-04-29 18:53:41
Adauga produs,2022-04-29 19:48:24
Adauga produs,2022-04-29 19:57:42
Sterge produs,2022-04-29 19:58:34
Adauga produs,2022-04-29 21:42:37
Sterge produs,2022-04-29 21:43:05
Adauga produs,2022-04-29 22:51:49
Sterge produs,2022-04-29 22:52:38
Sterge produs,2022-04-29 22:53:35
Aplica reducere produselor ce vor expira,2022-04-29 23:12:22
Aplica reducere produselor ce vor expira,2022-04-29 23:13:37
Aplica reducere produselor ce vor expira,2022-04-29 23:34:38
Modifica cantitate,2022-04-29 23:34:52
Modifica cantitate,2022-04-29 23:35:04
Afiseaza toate informatiile despre un produs,2022-04-29 23:42:54
Adauga produs,2022-04-29 23:43:13
Aplica reducere produselor ce vor expira,2022-04-29 23:43:45
Aplica reducere produselor ce vor expira,2022-04-29 23:44:53
Aplica reducere produselor ce vor expira,2022-04-29 23:45:11
Aplica reducere produselor ce vor expira,2022-04-29 23:46:41
Modifica cantitate,2022-04-29 23:47:15
Sterge produs,2022-04-29 23:47:26
Sterge produs,2022-04-29 23:48:25
Afiseaza toate informatiile despre un produs,2022-04-29 23:48:35
Sterge produs,2022-04-29 23:50:23
Afiseaza toate informatiile despre un produs,2022-04-29 23:50:26
Afiseaza haine,2022-04-30 00:26:35
